代码,名称,收盘价,建议买入价,止损价,止盈价,MA20,建议股数,建议金额,仓位比例
002366,融发核电,7.51,7.51,7.26,8.64,7.34,1300,9763.0,10%
600335,国机汽车,6.51,6.51,6.31,7.49,6.37,1500,9765.0,10%
002189,中光学,23.09,23.09,22.67,26.55,22.9,400,9236.0,10%
000050,深天马Ａ,9.03,9.03,8.86,10.38,8.95,1100,9933.0,10%
605011,杭州热电,20.44,20.44,20.08,23.51,20.28,400,8176.0,10%
600640,国脉文化,12.56,12.56,12.43,14.44,12.55,700,8792.0,10%
601929,吉视传媒,3.44,3.44,3.4,3.96,3.43,2900,9976.0,10%
601727,上海电气,8.61,8.61,8.43,9.9,8.51,1100,9471.0,10%
002354,天娱数科,6.37,6.37,6.21,7.33,6.27,1500,9555.0,10%
603989,艾华集团,16.78,16.78,16.32,19.3,16.48,500,8390.0,10%
002826,易明医药,18.38,18.38,17.88,21.14,18.06,500,9190.0,10%
003005,竞业达,20.39,20.39,20.06,23.45,20.26,400,8156.0,10%
002778,中晟高科,21.14,21.14,20.73,24.31,20.94,400,8456.0,10%
000045,深纺织Ａ,12.22,12.22,11.93,14.05,12.05,800,9776.0,10%
002382,蓝帆医疗,5.6,5.6,5.43,6.44,5.48,1700,9520.0,10%
603466,风语筑,9.36,9.36,9.11,10.76,9.2,1000,9360.0,10%
600749,西藏旅游,17.08,17.08,16.73,19.64,16.9,500,8540.0,10%
600718,东软集团,10.07,10.07,9.8,11.58,9.9,900,9063.0,10%
603370,华新精科,47.29,47.29,45.64,54.38,46.1,200,9458.0,10%
603579,荣泰健康,23.81,23.81,23.12,27.38,23.35,400,9524.0,10%
603506,南都物业,13.06,13.06,12.75,15.02,12.88,700,9142.0,10%
002609,捷顺科技,9.29,9.29,9.01,10.68,9.1,1000,9290.0,10%
